src,dst,n_events,sum_tt,mean_tt,prob,w_invtt
IND,LKA,9062,636189.083333333,70.204048039432,0.297612401064074,0.0142441928624732
THA,MYS,7106,222915.833333333,31.3700863120367,0.171022864019254,0.0318775023458032
GBR,NOR,9676,1373028.75,141.900449565937,0.325944889847066,0.00704719402270344
BRB,DOM,451,48091.1666666667,106.632298595713,0.389801210025929,0.00937802160479921
VNM,PHL,2144,236883.666666667,110.486784825871,0.0424579678000673,0.00905085618679208
PAN,BLZ,752,104840.083333334,139.415004432624,0.0260586319218241,0.00717282909447006
BRA,DMA,198,23515.5833333334,118.765572390573,0.00947640470948598,0.00841994847388433
CUB,HTI,29,1453.75,50.1293103448276,0.00810961968680089,0.0199484092863284
POL,DNK,204,16541.5,81.0857843137256,0.0142309033833275,0.0123326179608862
OMN,SAU,29,3755.25,129.491379310345,0.00168038011357052,0.00772252180280939
GEO,UKR,370,42121.1666666667,113.840990990991,0.0569405971068021,0.00878418214120374
IDN,JPN,57,9127.91666666667,160.138888888889,0.000556781995428527,0.00624457935819601
FRA,NLD,461,33437.5,72.5325379609545,0.0105981884224562,0.0137869158878505
SEN,GIN,238,34795.8333333334,146.200980392157,0.0174602010123982,0.00683989941324391
