src,dst,n_events,sum_tt,mean_tt,prob,w_invtt
SVN,HRV,2799,19135.3333333334,6.83648922234133,0.299710889816897,0.146273908650663
SWE,POL,2557,245372.583333334,95.9611198018512,0.0572920167596514,0.0104208871474706
COL,USA,1258,164793.083333334,130.996091679915,0.0211066742726754,0.00763381553736326
SGP,MYS,3519,61485.0833333334,17.4723169461021,0.54423136405815,0.0572333940074896
GRD,JAM,202,24980.0833333334,123.663778877888,0.0762839879154079,0.00808644219895182
BRA,TTO,379,32511.4166666667,85.7821020228672,0.0181391787115918,0.0116574434109044
BRA,CUB,49,8138.75000000001,166.09693877551,0.00234517086244855,0.00602058055598218
ISL,NOR,65,10453.8333333333,160.828205128205,0.878378378378378,0.00621781483666278
LBY,SYR,15,2057.75,137.183333333334,0.00411748558880044,0.00728951524723604
NLD,SWE,96,12056.1666666667,125.585069444445,0.00445744532664717,0.00796272999986175
BGD,THA,81,13516,166.864197530865,0.00580853352456077,0.00599289730689552
PAN,GTM,269,34204.5833333334,127.15458488228,0.00932150530182272,0.00786444311800318
DOM,HND,29,4123.58333333334,142.192528735632,0.00104425479817075,0.00703271830729744
GRC,MNE,454,43954.5833333334,96.816262848752,0.00874220134021413,0.0103288432188528
DJI,SAU,301,43658.3333333334,145.044296788483,0.0175910233183332,0.00689444550486733
BIH,GRC,43,5568.25000000001,129.494186046512,0.00430387348613752,0.00772235442014994
SGP,LKA,19,2405.41666666667,126.600877192983,0.00293844726260439,0.00789883942490905
BRB,JAM,51,7144.41666666668,140.08660130719,0.0440795159896284,0.00713844144028552
GEO,BGR,45,7045.50000000001,156.566666666667,0.00692520775623269,0.00638705556738343
IRQ,BHR,23,2623.41666666667,114.061594202899,0.000608513903219832,0.0087671929100092
NLD,FRA,126,8365.00000000001,66.388888888889,0.00585039699122441,0.0150627615062761
COL,SLV,17,1686.41666666667,99.200980392157,0.000285225328009127,0.0100805455354054
BLZ,USA,3,300.583333333334,100.194444444445,0.000852030673104232,0.00998059329082339
PRT,TUN,54,8027.91666666668,148.66512345679,0.00274069938588032,0.0067265272227124
CHN,MYS,14,1996,142.571428571429,0.000232442304499419,0.00701402805611222
BGR,RUS,10,1472.83333333334,147.283333333334,0.0195694716242661,0.0067896344913432
LBR,CMR,9,1526.25,169.583333333334,0.00153557413410681,0.00589680589680589
USA,PRT,3,518,172.666666666667,3.20913962966529e-05,0.00579150579150579
LBN,GRC,7,661.416666666668,94.4880952380954,0.00152240104393214,0.0105833438326824
ATG,MEX,4,645.166666666666,161.291666666667,0.0082815734989648,0.00619994833376389
BRN,PNG,3,469.500000000001,156.5,0.000169808116827984,0.00638977635782746
NIC,MEX,3151,333886.250000001,105.961996191686,0.0923261742213367,0.00943734580264982
GTM,MEX,7317,139111.416666664,19.012083731948,0.628662256207578,0.0525981272804724
GRD,DOM,1038,87769.5000000001,84.556358381503,0.391993957703928,0.0118264317331191
TGO,BEN,7206,14819.5833333333,2.05656166157831,0.784027853334784,0.486248488767679
KEN,TZA,2077,12835.75,6.17994703899856,0.131488984553051,0.161813684436048
MMR,THA,23907,900915.666666645,37.6841789712906,0.709132975410079,0.0265363350694689
IRQ,ARE,4569,558057.666666668,122.140001459109,0.120882609730931,0.00818732592151466
ARE,OMN,15263,220912.916666658,14.4737546135529,0.917633619912223,0.0690905730199144
CHN,VNM,44260,2704957.49999997,61.1151717126066,0.734849742653163,0.0163625491343212
USA,CAN,70613,1290135.91666668,18.2705155802286,0.755356588898516,0.0547329929256156
NLD,BEL,6323,14943.6666666666,2.36338236069376,0.293587779170729,0.423122392986997
DEU,DNK,27480,716199.166666658,26.0625606501695,0.619742450553664,0.038369215267169
DNK,SWE,18413,416688.000000003,22.6300983001142,0.364686076450782,0.0441889375263983
KEN,SOM,13717,66923,4.87883648027995,0.868384401114206,0.204966902260807
VNM,IDN,5452,669287.5,122.759996331621,0.1079668099095,0.00814597613133369
DOM,CUB,5876,498241.333333336,84.7926026775588,0.211587627381081,0.0117934816059687
GBR,DEU,503,58436.0833333334,116.175115970842,0.0169440140133396,0.00860769530241731
GRC,SYR,678,101356.916666667,149.493977384464,0.0130555341600555,0.00668923268680067
HRV,SVN,1178,6478.41666666667,5.49950481041314,0.0439240836720236,0.181834553195868
BRA,HTI,255,38337.4166666667,150.342810457517,0.0122044606107016,0.00665146538738264
TTO,DOM,4300,296716.583333334,69.0038565891473,0.223365019998961,0.0144919436308329
